Id,SalePrice
1461,135080.3634
1462,161616.6546
1463,191952.2257
1464,191470.2973
1465,188243.4526
1466,170674.6798
1467,167811.5194
1468,161881.2066
1469,181142.4721
1470,138667.9447
1471,178892.1965
1472,112869.3294
1473,115612.1602
1474,148091.636
1475,120597.9879
1476,304783.3279
1477,230377.3539
1478,254967.065
1479,260670.523
1480,438267.4826
1481,287114.8195
1482,198020.4821
1483,180605.2758
1484,164181.8307
1485,171368.519
1486,183881.7658
1487,314289.3619
1488,211950.895
1489,193893.9724
1490,241396.6528
1491,185634.5709
1492,111510.5065
1493,167381.7455
1494,250592.3458
1495,254144.9394
1496,230474.5242
1497,190668.0918
1498,184543.6141
1499,171678.8503
1500,170261.8235
1501,187645.3991
1502,158402.8146
1503,264248.6746
1504,219505.519
1505,218193.0387
1506,187861.5357
1507,255238.7597
1508,201374.0321
1509,152484.6735
1510,153076.4941
1511,169314.9436
1512,179807.3835
1513,148627.4142
1514,170442.5877
1515,192640.1433
1516,146702.5376
1517,165764.5868
1518,153188.516
1519,208623.5238
1520,141904.9953
1521,149805.8571
1522,169844.1244
1523,136249.1754
1524,130631.1042
1525,130051.9781
1526,124744.7024
1527,127613.8557
1528,128943.3929
1529,161837.6849
1530,189360.7412
1531,122759.8334
1532,97343.84517
1533,146902.9445
1534,128843.4193
1535,146842.4533
1536,114568.403
1537,91578.24341
1538,124795.0911
1539,158794.0186
1540,95309.159
1541,135147.3379
1542,153741.9466
1543,176076.0722
1544,98843.49302
1545,113926.0055
1546,132682.378
1547,136924.0015
1548,133076.9056
1549,127364.5157
1550,143052.0221
1551,110773.3048
1552,151913.8678
1553,136732.5124
1554,119544.9915
1555,176386.2731
1556,104724.8135
1557,131565.9821
1558,110822.8697
1559,86685.4736
1560,129357.155
1561,157988.6191
1562,136628.3552
1563,135105.0752
1564,173027.783
1565,156179.7101
1566,226402.3902
1567,102125.9194
1568,247677.2341
1569,163567.9439
1570,133831.2424
1571,125588.8903
1572,144751.2526
1573,237576.9119
1574,139822.8694
1575,226816.0105
1576,215754.2008
1577,176835.9808
1578,134580.2502
1579,162518.4532
1580,182902.678
1581,155791.1884
1582,131134.7554
1583,265905.079
1584,209614.9355
1585,146993.2332
1586,98453.12269
1587,116445.279
1588,161140.4974
1589,115588.5368
1590,131573.8988
1591,111885.858
1592,125880.6083
1593,125532.9178
1594,164503.8009
1595,130436.1555
1596,209585.6183
1597,217519.8415
1598,206946.309
1599,157918.8187
1600,153367.3743
1601,96468.71582
1602,129174.8451
1603,82301.63193
1604,248411.4542
1605,209574.4759
1606,156872.3305
1607,191298.1883
1608,197168.4689
1609,179072.0861
1610,159912.98
1611,143202.9955
1612,184202.7763
1613,177684.1353
1614,128388.476
1615,102853.9407
1616,99818.36125
1617,106870.3609
1618,141749.1549
1619,143620.7594
